$ sudo pwru --output-tuple "host localhost and tcp and dst port 8080"
2023/11/14 21:01:27 Attaching kprobes (via kprobe-multi)...
1442 / 1442 [---------------------------------------------------------------------------------------] 100.00% ? p/s
2023/11/14 21:01:27 Attached (ignored 0)
2023/11/14 21:01:27 Listening for events..
               SKB    CPU          PROCESS                     FUNC
0xffff888105383600     14 [Chrome_ChildIOT]       validate_xmit_xfrm [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]      dev_hard_start_xmit [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]            loopback_xmit [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]   skb_clone_tx_timestamp [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]             __sock_wfree [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]           eth_type_trans [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]               __netif_rx [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]        netif_rx_internal [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]       enqueue_to_backlog [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT] __netif_receive_skb_one_core [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]                 ipv6_rcv [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]             ip6_rcv_core [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]                ip6_input [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT] ip6_protocol_deliver_rcu [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]       raw6_local_deliver [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]               tcp_v6_rcv [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]               tcp_filter [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]       sk_filter_trim_cap [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]    security_sock_rcv_skb [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT] bpf_lsm_socket_sock_rcv_skb [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]           tcp_v6_fill_cb [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]            tcp_check_req [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]     tcp_v6_syn_recv_sock [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT] tcp_create_openreq_child [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]        tcp_child_process [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]    tcp_rcv_state_process [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]    tcp_validate_incoming [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]        tcp_init_transfer [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]                  tcp_urg [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]           tcp_data_queue [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]              __kfree_skb [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]         skb_release_data [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]            skb_free_head [::1]:37822->[::1]:8080(tcp)
0xffff888105383600     14 [Chrome_ChildIOT]             kfree_skbmem [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]               ip6_output [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]        ip6_finish_output [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]       ip6_finish_output2 [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]         __dev_queue_xmit [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]      netdev_core_pick_tx [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]        validate_xmit_skb [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]       netif_skb_features [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]     skb_network_protocol [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]       validate_xmit_xfrm [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]      dev_hard_start_xmit [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]            loopback_xmit [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]   skb_clone_tx_timestamp [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]                tcp_wfree [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]           eth_type_trans [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]               __netif_rx [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]        netif_rx_internal [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]       enqueue_to_backlog [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT] __netif_receive_skb_one_core [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]                 ipv6_rcv [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]             ip6_rcv_core [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]                ip6_input [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT] ip6_protocol_deliver_rcu [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]       raw6_local_deliver [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]               tcp_v6_rcv [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]               tcp_filter [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]       sk_filter_trim_cap [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]    security_sock_rcv_skb [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT] bpf_lsm_socket_sock_rcv_skb [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]           tcp_v6_fill_cb [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]            tcp_v6_do_rcv [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]      tcp_rcv_established [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]                  tcp_urg [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]           tcp_data_queue [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]    tcp_try_rmem_schedule [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]            tcp_queue_rcv [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     14 [Chrome_ChildIOT]      tcp_event_data_recv [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     12        [kubectl]               sock_rfree [::1]:37822->[::1]:8080(tcp)
0xffff888232d612e8     12        [kubectl]   skb_attempt_defer_free [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]               ip6_output [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]        ip6_finish_output [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]       ip6_finish_output2 [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]         __dev_queue_xmit [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]      netdev_core_pick_tx [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]        validate_xmit_skb [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]       netif_skb_features [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]     skb_network_protocol [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]       validate_xmit_xfrm [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]      dev_hard_start_xmit [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]            loopback_xmit [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]   skb_clone_tx_timestamp [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]             __sock_wfree [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]           eth_type_trans [::1]:37822->[::1]:8080(tcp)
0xffff88810ebce500      8        [kubectl]               __netif_rx [::1]:37822->[::1]:8080(tcp)
